RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,Taken
409,15,Brevin Jordan,HOU,TE52,7,3 out of 5 stars,0
410,15,Jamal Agnew,JAC,WR143,9,4 out of 5 stars,0
411,15,Harrison Bryant,CLE,TE53,5,3 out of 5 stars,0
412,15,Darrell Henderson Jr.,FA,RB110,-,-,0
413,15,Justice Hill,BAL,RB111,13,3 out of 5 stars,0
414,15,Cole Turner,WAS,TE54,14,3 out of 5 stars,0
415,15,Rico Dowdle,DAL,RB112,7,3 out of 5 stars,0
416,15,Kevin Harris,NE,RB113,11,2 out of 5 stars,0
417,15,Jameis Winston,NO,QB41,11,5 out of 5 stars,0
418,15,Dontrell Hilliard,FA,RB114,-,-,0
419,15,Mo Alie-Cox,IND,TE55,11,3 out of 5 stars,0
420,15,Denzel Mims,DET,WR144,9,3 out of 5 stars,0
421,15,Samori Toure,GB,WR145,6,3 out of 5 stars,0
422,15,Bailey Zappe,NE,QB42,11,2 out of 5 stars,0
423,15,Darrel Williams,NO,RB115,11,4 out of 5 stars,0
424,15,Joey Slye,WAS,K36,14,4 out of 5 stars,0
425,15,Charlie Jones,CIN,WR146,7,4 out of 5 stars,0
426,15,Chase McLaughlin,TB,K37,5,2 out of 5 stars,0
427,15,Anders Carlson,GB,K38,6,5 out of 5 stars,0
428,15,Corey Clement,ARI,RB116,14,3 out of 5 stars,0
429,15,Parker Washington,JAC,WR147,9,4 out of 5 stars,0
430,15,Scott Miller,ATL,WR148,11,4 out of 5 stars,0
431,15,Trenton Irwin,CIN,WR149,7,4 out of 5 stars,0
432,15,Mike White,MIA,QB43,10,2 out of 5 stars,0
433,15,Tanner Brown,LAR,K39,10,0 out of 5 stars,0
434,15,Kylen Granson,IND,TE56,11,3 out of 5 stars,0
435,15,Dontayvion Wicks,GB,WR150,6,3 out of 5 stars,0
436,15,DeAndre Carter,LV,WR151,13,2 out of 5 stars,0
437,15,Craig Reynolds,DET,RB117,9,5 out of 5 stars,0
438,15,Zach Pascal,ARI,WR152,14,3 out of 5 stars,0
439,15,Jordan Akins,CLE,TE57,5,3 out of 5 stars,0
440,15,Clayton Tune,ARI,QB44,14,2 out of 5 stars,0
441,15,Tyler Davis,FA,K40,-,-,0
442,15,Josh Oliver,MIN,TE58,13,3 out of 5 stars,0
443,15,Keaton Mitchell,BAL,RB118,13,3 out of 5 stars,0
444,15,Andrei Iosivas,CIN,WR153,7,4 out of 5 stars,0
445,15,Ty Johnson,FA,RB119,-,-,0
446,15,Brenton Strange,JAC,TE59,9,2 out of 5 stars,0
447,15,Jalen Nailor,MIN,WR154,13,3 out of 5 stars,0
448,15,Justin Shorter,BUF,WR155,13,2 out of 5 stars,0
449,15,Kenny Golladay,FA,WR156,-,-,0
450,15,Caleb Shudak,TEN,K41,7,4 out of 5 stars,0
451,15,Tre Tucker,LV,WR157,13,2 out of 5 stars,0
452,15,Demetric Felton Jr.,CLE,RB120,5,3 out of 5 stars,0
